Building, Region
TREN,1
ENTRADA REVOLUCION,1
ENTRADA BOULEVARD,3
COLISEO,2
GYM,2
ENTRADA CDU,2
ESTACIONAMIENTO CDU,2
CDU,2
CDU-CUCEI,2
CAFE COYOTE,2
PISTA,4
ALBERCA,4
ESTACIONAMIENTO ALBERCA,4
ESTACIONAMIENTO 2,4
ESTACIONAMIENTO ESTUDIANTES,4
ENTRADA OLIMPICA,4
CUCS,4
MODULO C,3
MODULO D,3
CONTROL ESCOLAR,3
PROULEX,3
FAJARDIN,3
BIBLIOTECA,3
MODULO E,3
MODULO F,3
MODULO H,3
MODULO G,3
MODULO J,3
MODULO K,3
MODULO I,3
GLOBO,3
ALFA,3
BETA,3
MODULO M,3
MODULO L2,3
DIV CIENCIAS BASICAS,3
MODULO N,1
MODULO O,1
MODULO P,1
MODULO Q,1
MODULO R,1
MODULO S,1
MODULO T,1
MODULO U,1
MODULO V,1
MODULO V2,1
MODULO W,1
MODULO X,1
MODULO Y,1
MODULO Z,1
MODULO Z1,1
MODULO Z2,1
COMEDORES X,1
FLOR DE CORDOBA,1
TITANIC,1
JOBS,1
JARDIN CHEDRAUI,1
COORDINACION TECNOLOGIAS PARA EL APRENDIZAJE,4